exam_id,professor,course,term,exam_no,q_no,points,concept,stem
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","1",12,"functional-groups","Biktarvy, shown below, is a new drug investigated for treatment of HIV. Which of the listed functional groups does biktarvy contain?"
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","2a",10,"bonding-hybridization","Draw an MO diagram for a molecule of hydrogen gas H2. Also draw the shapes of all MOs in this molecule."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","2b",6,"bonding-hybridization","When the hydrogen molecule absorbs a photon of light an electron can jump from the bonding MO to the antibonding MO. Draw the MO diagram after this happens."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","3a",8,"IUPAC-naming","The following compound was named incorrectly: 1-(2-bromocyclohexyl)butane. Draw skeletal structure correct IUPAC name and degrees of unsaturation."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","3b",8,"IUPAC-naming","The following compound was named incorrectly: 4,6-dimethyl-3-propylnonane. Draw skeletal structure correct IUPAC name and degrees of unsaturation."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","3c",8,"IUPAC-naming","The following compound was named incorrectly: 1-cycloheptyl-cyclopropane. Draw skeletal structure correct IUPAC name and degrees of unsaturation."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","4a",6,"mechanism-general","Add arrows to show electron movement; classify species as acid/base/nucleophile/electrophile; identify HOMO and LUMO. (amide + Br2 reaction)"
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","4b",6,"mechanism-general","Add arrows to show electron movement; classify species as acid/base/nucleophile/electrophile; identify HOMO and LUMO. (amine proton transfer)"
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","4c",6,"mechanism-general","Add arrows to show electron movement; classify species as acid/base/nucleophile/electrophile; identify HOMO and LUMO. (diazonium + amine reaction)"
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","5",12,"resonance","Draw all reasonable resonance forms for the given molecule including valid arrow-pushing to convert each form into the next. Circle the most stable resonance form."
"11JRF18ex1 DONE on website mt1 ex2","Richardson","CHEM 3311","F18","1","6",18,"stereochem-Newman","Draw structure of 1-bromopropane. Show Newman projection conformations at 60 degree increments sighting along C1-C2. Plot energy levels and create conformational energy diagram."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","1",16,"acids-bases","For each reaction does equilibrium favor reactants or products? For each pair select more acidic compound and explain reasoning in 15 words."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","2",10,"stereochem-chirality","Fumagillin shown below is an antimicrobial agent. Label all asymmetric carbons with an asterisk and circle all alkenes with E/Z stereoisomerism."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","3",12,"isomer-relationships","Show all possible constitutional isomers of formula C9H14 that could be hydrogenated to form cyclopropylcyclohexane. Do not repeat any structures."
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","4",12,"IUPAC-naming","Give complete IUPAC names for the following compounds including E/Z and R/S descriptors where necessary. (3 structures)"
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","5",10,"isomer-relationships","For each of the following pairs of molecules are they identical enantiomers diastereomers or constitutional isomers? (5 pairs)"
"11JRF18ex2 DONE","Richardson","CHEM 3311","F18","2","6",20,"synthesis-multistep","Using any reactions covered so far show how to create each product starting from a hydrocarbon with same number of carbons. Each reaction must give desired structure as only major product."
