id,name,reagents,tier,decision_q,choiceA,choiceA_correct,choiceB,choiceB_correct,choiceC,choiceC_correct,choiceD,choiceD_correct,prod_type,prod_c1,prod_c2,prod_stereo,rule,trap_id,firstMove,shortcut,whyTrapTempting,smiles
stability_rank_mc_1,Alkene Stability: Most Stable Structure,,recognise,"Which one of the following alkenes is the most stable? (A) 2-methylenecyclobutane (trisubstituted-like, branched terminal), (B) (E)-2,3-dimethyl-2-butene (tetrasubstituted), (C) (Z)-2-methyl-2-butene (trisubstituted), (D) 2-methyl-1-butene (disubstituted/monosubstituted mix)",(A) 2-methylenecyclobutane — branched terminal alkene,false,"(B) (E)-2,3-dimethyl-2-butene — tetrasubstituted internal alkene",true,(C) (Z)-2-methyl-2-butene — trisubstituted internal alkene,false,(D) 2-methyl-1-butene with ethyl group — disubstituted alkene,false,,,,,"Stability increases with degree of substitution. The tetrasubstituted alkene (B) has the most alkyl groups on the double bond carbons, providing maximum hyperconjugation and inductive stabilization, making it the most stable.",trap_more_substituents,Count the number of alkyl groups directly attached to each C=C carbon,Tetrasubstituted > trisubstituted > disubstituted > monosubstituted,"Students may pick (C) because trisubstituted looks 'almost as good', or confuse the branched terminal structure (A) for a highly substituted alkene",
syn_addition_id_1,Syn Addition Identification,,recognise,Which of the following are examples of syn addition to an alkene?,Hydrogenation and hydration,false,Hydrobromination and hydroboration,false,Hydration and hydrobromination,false,Hydrogenation and hydroboration,true,,,,,Syn addition means both atoms/groups add to the same face of the double bond. H2/Pt (hydrogenation) delivers both H atoms from the same catalyst surface (syn). Hydroboration (BH3) also adds B and H in a syn concerted fashion. Hydrobromination (HBr) and acid-catalyzed hydration both go through carbocation intermediates allowing anti or mixed addition.,trap_hydration_syn,Ask: does this reaction go through a carbocation or a concerted cyclic transition state?,Concerted or surface-delivered = syn; carbocation intermediate = not stereospecific,"Hydration and hydrobromination both add two groups across the double bond, so students incorrectly categorize them as syn",
stability_order_5comp_1,Alkene Stability Ranking — Five Compounds,,toggle,"Rank these alkenes from least to most stable: (a) 1-octene, (b) 1,2-dimethylcyclohexene, (c) 3-methylpent-2-ene, (d) (E)-2-heptene, (e) (Z)-2-heptene. Which order is correct?",a < e < d < c < b,true,a < d < e < c < b,false,e < a < d < c < b,false,a < e < c < d < b,false,,,,,"Order (least to most stable): a (monosubstituted) < e (Z-disubstituted, steric strain) < d (E-disubstituted) < c (trisubstituted) < b (tetrasubstituted, cyclic). Z isomers are slightly less stable than E due to steric clash of alkyl groups on same side.",trap_EZ_same_stability,"Classify each by substitution count first, then break ties using E vs Z geometry",More substituted = more stable; E more stable than Z when substituents are similar,Students often treat E and Z as equally stable and fail to place Z below E in the ranking,
hydrogenation_energy_release_1,Most Energy Released on Hydrogenation,,toggle,"Among 1-octene, 1,2-dimethylcyclohexene, 3-methylpent-2-ene, (E)-2-heptene, and (Z)-2-heptene, which releases the most energy upon hydrogenation?",1-octene — least stable alkene,true,(Z)-2-heptene — strained Z isomer,false,"1,2-dimethylcyclohexene — most stable alkene",false,3-methylpent-2-ene — trisubstituted,false,,,,,The least stable alkene sits at the highest energy and releases the most heat on hydrogenation (all alkenes give the same alkane product). 1-octene is monosubstituted — the least stable — so it releases the most energy.,trap_most_stable_most_energy,Flip the stability ranking: least stable alkene = highest heat of hydrogenation,Heat of hydrogenation is inversely related to alkene stability,"Students confuse 'most energy released' with 'most stable' and pick 1,2-dimethylcyclohexene",
diene_hydrogenation_rank_1,Diene Stability Ranking by Heat of Hydrogenation,,toggle,"Three cyclohexadiene isomers are labeled A (cross-conjugated/isolated dienes attached to benzene-like ring), B (similar), and C (conjugated). Rank them in order of increasing heat of hydrogenation (lowest to highest). The answer image shows A < C < B.","A < C < B (A most stable, B least stable)",true,B < C < A,false,C < A < B,false,A < B < C,false,,,,,"Conjugated dienes are more stable than isolated dienes due to delocalization, so they have lower heats of hydrogenation. The ordering reflects degree of conjugation and substitution: A (most conjugated/stable, lowest heat of hydrogenation) < C < B (least stable, highest heat of hydrogenation).",trap_diene_rank_direction,"Identify which diene is conjugated vs isolated, then apply the stability rule",Conjugated diene = extra stabilization = lower heat of hydrogenation,Students confuse 'increasing heat of hydrogenation' with the stability order and reverse the ranking,
markovnikov_hbr_vinyl_ether_1,Regioselective HBr Addition — Vinyl Ether,HBr,predict,"An alkene with an OCH3 group (vinyl-type ether, e.g. but-1-en-2-yl methyl ether) reacts with HBr. The OCH3 group stabilizes an adjacent carbocation by resonance. Which product is the only one formed?","Br on the carbon bearing OCH3 (Markovnikov-like, carbon away from O gets H)",false,Br on the carbon NOT bearing OCH3 (resonance-stabilized carbocation at OCH3 carbon directs Br there),false,"Br on the internal carbon adjacent to OCH3 — resonance stabilizes the carbocation at that position, Br attacks there",true,A mixture of both regioisomers in equal amounts,false,add,"Br at carbon bearing OCH3 group (anti-Markovnikov relative to simple HX rules, but Markovnikov to the resonance-stabilized cation)",,,"The OCH3 oxygen lone pairs stabilize an adjacent carbocation by resonance donation (oxocarbenium ion). H+ adds to the terminal carbon, generating the resonance-stabilized carbocation at the OCH3-bearing carbon. Br- then attacks that carbon. This is still Markovnikov addition but governed by resonance, not induction.",trap_ocr_ignore_resonance,Draw both possible carbocations and check which is stabilized by the oxygen lone pairs,O lone pairs = oxocarbenium resonance stabilization always wins over inductive effects,"Students apply simple Markovnikov (H to less substituted) without considering O resonance donation, predicting the wrong regiochemistry",C=CC(=C)OCCC
hbr_2methyl2butene_markov_1,HBr Addition to 2-Methyl-2-Butene — Product Identification,"HBr, low temp.",predict,2-Methyl-2-butene reacts with HBr at low temperature (no peroxide). What is the major product?,"2-bromo-2-methylbutane (Br on the more substituted carbon, Markovnikov)",true,1-bromo-2-methylbutane (Br on the less substituted carbon),false,3-bromo-3-methylbutane,false,A mixture of all possible bromides,false,add,2-bromo-2-methylbutane,,racemic,"HBr without peroxide follows Markovnikov's rule: H adds to the less substituted carbon, Br adds to the more substituted (more stable tertiary) carbocation carbon. Product is 2-bromo-2-methylbutane.",trap_anti_markov_HBr,Identify the more substituted carbon of the C=C; that is where Br goes,No peroxide = Markovnikov = Br to more substituted carbon,"Students confuse the peroxide (anti-Markovnikov) and non-peroxide conditions, or miscount substitution",CC(=C(C)C)C
h2_hydrogenation_2methyl2butene_1,Hydrogenation of 2-Methyl-2-Butene,H2/Pt,predict,2-Methyl-2-butene reacts with H2 over a Pt catalyst. What is the product?,2-methylbutane (the alkane),true,2-methyl-2-butanol,false,3-methylbutanal,false,No reaction,false,alkane,2-methylbutane,,syn,"H2/Pt catalytic hydrogenation adds two H atoms syn across the double bond, converting the alkene to an alkane. 2-methyl-2-butene gives 2-methylbutane.",trap_hydrogenation_gives_alcohol,Identify that H2/metal catalyst = hydrogenation = alkane product,"H2/Pt always gives the alkane; no regiochemistry question, just add H to each C of C=C",Students confuse H2/Pt with acid-catalyzed hydration (H2O/H+) which gives an alcohol,CC(=C(C)C)C
hbr_peroxide_2methyl2butene_1,Anti-Markovnikov HBr Addition (Peroxide) to 2-Methyl-2-Butene,"HBr, dimethyl peroxide",toggle,2-Methyl-2-butene reacts with HBr in the presence of dimethyl peroxide. What is the major product?,2-bromo-2-methylbutane (Markovnikov product),false,3-bromo-2-methylbutane (anti-Markovnikov: Br to less substituted carbon via radical),true,1-bromo-2-methylbutane,false,A 1:1 mixture of both regioisomers,false,add,3-bromo-2-methylbutane (Br on the less substituted C),,,"Peroxides initiate a radical chain mechanism. Br radical adds to the less hindered (less substituted) carbon, generating the more stable tertiary radical intermediate. H then adds to the other carbon. Net result is anti-Markovnikov: Br ends up on the less substituted carbon.",trap_peroxide_same_product,See 'peroxide' and switch to radical mechanism: Br goes to less substituted carbon,Peroxide = radical = anti-Markovnikov = Br to less substituted C,Students forget to flip the regiochemistry when peroxide is present and apply normal Markovnikov rules,CC(=C(C)C)C
ozonolysis_2methyl2butene_1,Ozonolysis of 2-Methyl-2-Butene (Reductive),i) O3; ii) Zn/H2O,predict,2-Methyl-2-butene undergoes ozonolysis with reductive workup (Zn/H2O). What are the two carbonyl products?,Acetone and acetaldehyde (propan-2-one and ethanal),true,Two molecules of acetone,false,Acetaldehyde and formaldehyde,false,Propanal and formaldehyde,false,cleave,acetone (propan-2-one): (CH3)2C=O,acetaldehyde (ethanal): CH3CHO,,Ozonolysis cleaves the C=C bond. Each carbon of the double bond becomes a carbonyl. The more substituted carbon (bearing two CH3) gives acetone; the less substituted carbon (bearing CH3 and H) gives acetaldehyde. Reductive workup (Zn) gives aldehydes/ketones not carboxylic acids.,trap_ozonolysis_both_ketones,Break the C=C bond; assign =O to each fragment carbon and check what substituents remain,C bearing two carbons → ketone; C bearing one carbon and one H → aldehyde,Students treat both sides symmetrically and predict two ketones or fail to recognize the asymmetry,CC(=C(C)C)C
